is_weekend,num_child,distance,rides,games,wait,clean,overall
False,1,24.050107547550432,75.0,74.0,65.0,84.0,81.0
True,0,15.490748625035533,79.0,80.0,92.0,92.0,69.0
False,4,83.76929925780009,78.0,84.0,77.0,87.0,82.0
True,0,55.90029296975882,75.0,74.0,64.0,86.0,70.0
True,0,22.222821283288646,89.0,68.0,69.0,90.0,71.0
True,0,27.534769601463584,73.0,67.0,73.0,78.0,54.0
True,3,62.46184872767749,73.0,68.0,78.0,79.0,72.0
True,2,11.11796561466013,77.0,63.0,64.0,85.0,62.0
False,4,50.01935801637305,80.0,73.0,66.0,82.0,84.0
False,3,80.19016267464539,80.0,72.0,78.0,88.0,90.0
False,3,13.453681245612733,90.0,85.0,79.0,100.0,89.0
True,2,16.66485663392296,92.0,83.0,79.0,90.0,91.0
True,4,1.099211736140082,83.0,75.0,72.0,87.0,76.0
True,5,9.390272085430336,82.0,74.0,69.0,86.0,76.0
False,0,28.030903724771456,80.0,81.0,64.0,84.0,65.0
True,1,15.023213878447262,91.0,80.0,86.0,94.0,92.0
False,1,60.39544593510115,81.0,66.0,80.0,83.0,77.0
True,0,29.47186983493383,85.0,71.0,68.0,90.0,76.0
False,0,26.223590207042864,85.0,73.0,86.0,85.0,71.0
True,0,18.208461062189315,84.0,82.0,66.0,87.0,70.0
True,5,18.690169640254087,89.0,88.0,76.0,92.0,93.0
True,4,15.17081722048976,78.0,88.0,73.0,88.0,80.0
False,5,10.614405700816189,90.0,82.0,86.0,96.0,88.0
True,3,4.987716314870817,79.0,76.0,75.0,85.0,80.0
False,4,4.061910359572199,82.0,68.0,72.0,83.0,83.0
True,1,36.951183382156245,95.0,88.0,100.0,97.0,100.0
True,3,10.544493592722477,82.0,62.0,98.0,86.0,96.0
False,0,18.028171875548477,76.0,80.0,75.0,87.0,72.0
False,3,33.50312659550552,71.0,70.0,74.0,81.0,74.0
True,0,195.08347079779472,85.0,84.0,78.0,92.0,80.0
False,2,9.86563378637534,84.0,74.0,93.0,87.0,87.0
True,3,5.090599603768424,78.0,79.0,68.0,87.0,81.0
True,5,1.6066108661374725,70.0,65.0,69.0,75.0,66.0
False,3,14.12339691870661,69.0,71.0,76.0,75.0,69.0
False,4,31.562200914249388,78.0,81.0,53.0,82.0,67.0
False,3,59.9887763577642,79.0,63.0,76.0,85.0,82.0
True,2,25.92120797967382,75.0,76.0,61.0,91.0,75.0
False,0,4.769894655078382,80.0,83.0,63.0,84.0,71.0
False,0,37.285888206880166,72.0,68.0,82.0,82.0,58.0
True,2,5.978705310018285,64.0,74.0,67.0,74.0,54.0
False,1,18.509173484891384,78.0,85.0,64.0,82.0,66.0
False,3,33.343624250555024,82.0,80.0,71.0,85.0,87.0
True,4,67.1850770964899,82.0,66.0,81.0,87.0,91.0
True,0,9.295816465483355,79.0,77.0,62.0,82.0,69.0
False,3,90.11731201075985,89.0,94.0,76.0,91.0,95.0
True,1,10.933425434222176,85.0,80.0,70.0,88.0,77.0
False,0,34.03080419468563,83.0,83.0,75.0,92.0,82.0
False,3,37.075398519857444,70.0,65.0,60.0,77.0,54.0
False,2,11.426854164470877,76.0,68.0,75.0,78.0,64.0
True,3,27.407670353119265,83.0,84.0,52.0,79.0,69.0
False,0,15.356680913292074,88.0,83.0,89.0,90.0,84.0
True,3,12.645478078119808,72.0,68.0,67.0,77.0,58.0
False,0,25.634232987123095,81.0,76.0,59.0,89.0,73.0
False,0,59.342772136587264,75.0,74.0,76.0,85.0,65.0
True,0,10.770110998296355,73.0,61.0,67.0,76.0,58.0
True,0,152.8754567618659,78.0,66.0,68.0,80.0,60.0
False,4,5.640253689747804,72.0,69.0,80.0,86.0,73.0
True,3,45.86818828490086,80.0,69.0,57.0,81.0,77.0
False,0,6.887663608172108,76.0,83.0,58.0,81.0,66.0
False,4,4.983225403961235,85.0,81.0,65.0,92.0,86.0
False,1,37.14954094172412,68.0,64.0,62.0,80.0,62.0
True,1,26.018800378335225,72.0,76.0,79.0,83.0,72.0
False,1,2.0691145920588268,77.0,71.0,81.0,84.0,78.0
True,0,4.116972737331969,76.0,73.0,66.0,81.0,54.0
False,0,44.74577724229262,88.0,88.0,74.0,93.0,85.0
False,0,5.4478302086695605,89.0,80.0,84.0,93.0,73.0
False,1,5.649059329981059,75.0,68.0,63.0,86.0,65.0
False,2,27.54040723168664,83.0,85.0,70.0,89.0,90.0
False,1,40.69301634969643,86.0,75.0,68.0,89.0,88.0
False,1,9.225728648015922,87.0,63.0,71.0,89.0,74.0
False,2,16.374658930381152,70.0,66.0,72.0,75.0,72.0
False,1,50.703808715556704,77.0,71.0,64.0,84.0,77.0
False,1,27.74349098071526,68.0,66.0,53.0,74.0,55.0
True,4,6.593699690513171,72.0,73.0,67.0,82.0,73.0
True,3,5.701910552384855,90.0,84.0,84.0,89.0,91.0
True,1,58.65345485455159,76.0,69.0,73.0,80.0,73.0
True,0,7.276057746232783,75.0,57.0,76.0,84.0,54.0
False,1,27.360883350189344,75.0,62.0,77.0,81.0,79.0
True,3,35.9324377771,71.0,68.0,76.0,75.0,69.0
False,4,13.486993031123314,75.0,71.0,79.0,82.0,78.0
True,3,2.836915038199818,76.0,74.0,72.0,78.0,69.0
False,1,10.35950104823564,79.0,55.0,72.0,86.0,77.0
False,0,102.44676700582748,89.0,88.0,88.0,92.0,83.0
True,3,8.4686947073909,78.0,68.0,65.0,85.0,71.0
False,1,1.2531216081593999,87.0,64.0,75.0,86.0,77.0
False,0,7.3529296821384245,79.0,88.0,79.0,92.0,73.0
False,3,6.030059956748278,74.0,71.0,65.0,86.0,72.0
False,4,13.008697400534128,80.0,78.0,84.0,85.0,87.0
False,2,4.687644354233149,80.0,73.0,74.0,81.0,77.0
False,1,3.2988037020623597,83.0,81.0,65.0,85.0,78.0
False,2,11.095643838443943,76.0,82.0,72.0,79.0,80.0
True,0,19.63851355780604,90.0,76.0,64.0,95.0,78.0
True,2,5.22721961338211,76.0,80.0,78.0,85.0,77.0
True,3,53.954652022814976,84.0,77.0,67.0,91.0,78.0
True,3,9.635217414798428,90.0,78.0,77.0,89.0,87.0
False,2,144.16694411308038,78.0,67.0,70.0,77.0,70.0
True,1,43.80906455893507,76.0,74.0,61.0,85.0,71.0
False,3,82.21282017498524,73.0,68.0,50.0,79.0,66.0
False,1,29.426451224138354,70.0,73.0,59.0,78.0,63.0
False,2,13.547875954446038,83.0,85.0,89.0,90.0,86.0
False,1,40.852405023998394,73.0,72.0,66.0,78.0,74.0
False,0,46.87479994423623,78.0,73.0,72.0,79.0,52.0
False,0,30.172515838726177,83.0,70.0,52.0,85.0,57.0
True,0,30.724083873697484,66.0,63.0,66.0,79.0,44.0
False,2,3.8147138333187742,79.0,64.0,88.0,83.0,88.0
False,2,56.68349649373281,70.0,56.0,64.0,76.0,70.0
False,2,13.959508946367292,84.0,73.0,72.0,84.0,78.0
False,0,23.41628875367265,70.0,61.0,65.0,73.0,52.0
False,2,18.06859786230022,85.0,82.0,81.0,94.0,89.0
True,2,22.22155512805094,88.0,86.0,100.0,94.0,96.0
False,4,1.7968981860274245,81.0,69.0,68.0,86.0,77.0
False,2,14.906456852866258,88.0,77.0,93.0,94.0,96.0
False,2,7.323383506082471,74.0,64.0,84.0,77.0,78.0
False,0,24.08988739272031,78.0,73.0,71.0,83.0,67.0
False,1,11.516499452995141,81.0,69.0,90.0,88.0,78.0
True,2,10.711360355583428,79.0,73.0,64.0,89.0,72.0
True,0,18.318936356331662,82.0,61.0,74.0,84.0,51.0
False,1,9.624256231225225,77.0,63.0,52.0,80.0,62.0
True,0,13.755413301571073,83.0,77.0,63.0,84.0,79.0
True,2,34.161193864892816,76.0,80.0,69.0,80.0,78.0
False,2,31.20740873405309,77.0,76.0,78.0,79.0,79.0
False,3,36.28011106781724,78.0,81.0,58.0,77.0,62.0
True,2,6.637755005911154,77.0,59.0,79.0,75.0,73.0
False,2,3.9783398172986306,79.0,76.0,78.0,84.0,89.0
True,0,12.59140853341262,86.0,65.0,68.0,91.0,61.0
False,2,15.514597313967052,79.0,78.0,80.0,86.0,80.0
True,0,60.6627870060564,89.0,87.0,73.0,98.0,83.0
True,5,8.910069816049003,83.0,87.0,78.0,85.0,78.0
True,2,21.320631405548518,68.0,53.0,64.0,71.0,54.0
True,1,19.198770315954896,81.0,68.0,75.0,91.0,83.0
True,4,24.847783597779447,75.0,69.0,90.0,87.0,80.0
False,0,22.559253405283116,93.0,79.0,91.0,94.0,75.0
True,2,79.98056975184697,79.0,91.0,76.0,90.0,81.0
True,0,31.733768636271776,74.0,73.0,85.0,82.0,58.0
False,5,32.68549598905357,72.0,66.0,73.0,79.0,72.0
True,2,65.47073751078933,81.0,69.0,67.0,83.0,76.0
False,3,136.1897308796136,81.0,80.0,91.0,87.0,94.0
True,0,109.72967786168734,79.0,63.0,67.0,83.0,58.0
False,2,101.55842282641485,86.0,83.0,72.0,86.0,91.0
False,0,13.758980085225424,77.0,82.0,82.0,84.0,60.0
True,0,9.721769672568369,75.0,67.0,62.0,77.0,61.0
True,0,46.71444211670448,90.0,69.0,91.0,92.0,81.0
False,5,4.603718197135962,90.0,68.0,71.0,93.0,91.0
True,3,7.03475331437073,88.0,88.0,78.0,87.0,87.0
False,0,37.001250770908676,85.0,73.0,82.0,89.0,82.0
False,0,3.9292994343995096,85.0,69.0,73.0,86.0,76.0
False,3,65.77529086300768,78.0,64.0,76.0,81.0,78.0
False,2,7.285577786820799,80.0,69.0,71.0,84.0,77.0
True,1,23.960647961157584,82.0,69.0,80.0,91.0,91.0
True,4,25.05664053288527,78.0,67.0,75.0,85.0,76.0
True,0,6.203433380792468,75.0,61.0,66.0,76.0,56.0
True,0,160.22629667136687,84.0,74.0,89.0,87.0,68.0
True,3,11.64740933113763,84.0,84.0,99.0,87.0,95.0
False,3,39.352329573822345,75.0,74.0,99.0,80.0,83.0
True,0,31.79212006590621,65.0,44.0,59.0,75.0,44.0
False,3,4.736170583130873,84.0,80.0,76.0,95.0,96.0
False,0,78.04979691781836,79.0,71.0,67.0,83.0,62.0
True,4,81.70057342000706,90.0,99.0,71.0,93.0,87.0
False,5,0.9060129951483289,85.0,73.0,82.0,89.0,73.0
False,2,9.03894909966626,84.0,79.0,66.0,92.0,83.0
False,0,60.85901896037591,72.0,66.0,61.0,76.0,59.0
False,0,25.35920295962039,72.0,71.0,70.0,78.0,61.0
False,3,47.27235557234666,83.0,67.0,92.0,87.0,86.0
True,2,76.01983310994599,84.0,77.0,75.0,88.0,91.0
False,2,6.354991966679198,83.0,78.0,86.0,89.0,85.0
False,1,4.2893649096492075,78.0,74.0,65.0,84.0,77.0
False,4,5.850935101220252,82.0,86.0,57.0,86.0,71.0
True,0,29.78705640782874,86.0,74.0,82.0,88.0,78.0
False,1,23.255115647505093,77.0,76.0,56.0,82.0,68.0
False,0,50.03103873390718,73.0,60.0,71.0,83.0,64.0
True,0,14.083322122748253,73.0,72.0,68.0,83.0,59.0
True,5,6.268742950851532,80.0,72.0,86.0,93.0,88.0
False,1,2.7587424079429033,84.0,69.0,76.0,87.0,86.0
True,0,22.67302595019188,96.0,80.0,77.0,96.0,89.0
False,0,10.180022209055263,85.0,74.0,66.0,85.0,63.0
False,3,24.84272181777581,85.0,82.0,77.0,89.0,92.0
True,2,4.423466101300752,73.0,73.0,54.0,78.0,60.0
True,0,4.102002511984888,75.0,59.0,64.0,76.0,57.0
True,3,0.6407802829946485,87.0,81.0,75.0,89.0,84.0
True,0,13.331934605162193,71.0,63.0,75.0,80.0,57.0
True,5,3.3885800582965193,83.0,70.0,64.0,84.0,78.0
True,1,26.75734033946535,81.0,80.0,83.0,97.0,85.0
True,2,3.4220859899843674,85.0,80.0,98.0,89.0,98.0
True,2,12.030936787715431,82.0,78.0,75.0,92.0,93.0
True,4,34.36382098886262,78.0,52.0,48.0,81.0,58.0
False,0,64.84530077380646,73.0,70.0,51.0,75.0,44.0
True,0,16.012671596871062,84.0,80.0,81.0,85.0,66.0
False,4,12.993193905962059,79.0,75.0,99.0,90.0,89.0
True,3,38.94035031474373,84.0,73.0,67.0,89.0,76.0
False,2,19.931230408091665,86.0,81.0,72.0,91.0,86.0
False,3,9.241088723248971,80.0,68.0,86.0,89.0,82.0
True,3,53.76089169094108,95.0,66.0,68.0,91.0,83.0
False,0,26.893796754048115,85.0,74.0,69.0,84.0,69.0
False,0,3.6466273263849085,71.0,60.0,70.0,75.0,49.0
False,2,25.061393998620204,84.0,83.0,88.0,89.0,95.0
True,1,40.6164939955857,79.0,62.0,76.0,84.0,75.0
False,0,18.650392035662943,95.0,90.0,76.0,99.0,80.0
False,1,15.405111112069859,81.0,75.0,73.0,82.0,85.0
False,2,14.144344443670496,76.0,86.0,83.0,84.0,78.0
False,2,40.9908635155514,81.0,76.0,73.0,85.0,80.0
True,3,4.1121107602728975,79.0,79.0,83.0,82.0,79.0
True,5,3.6908491619766375,69.0,67.0,48.0,75.0,55.0
True,2,50.16139200917901,91.0,80.0,68.0,95.0,93.0
True,3,19.295474345165445,83.0,75.0,71.0,87.0,78.0
False,0,17.85440949981807,80.0,87.0,71.0,88.0,68.0
True,2,15.613347608974628,77.0,80.0,67.0,91.0,82.0
False,0,18.06224296202613,85.0,82.0,82.0,85.0,76.0
False,0,34.98772706120088,81.0,73.0,77.0,83.0,75.0
True,0,13.5355666367889,88.0,84.0,92.0,89.0,64.0
True,0,19.640714027709585,76.0,82.0,94.0,83.0,74.0
True,0,4.708592304100634,87.0,77.0,94.0,95.0,81.0
False,0,58.538838472202194,67.0,67.0,61.0,74.0,45.0
False,4,8.375122427626517,77.0,75.0,91.0,84.0,76.0
False,1,7.211169219219368,81.0,81.0,66.0,83.0,77.0
False,0,5.624370787730656,78.0,77.0,68.0,85.0,62.0
True,0,64.90207531945167,84.0,77.0,69.0,82.0,68.0
False,1,6.898206730548038,90.0,88.0,66.0,95.0,84.0
True,4,12.382448546121314,80.0,66.0,72.0,84.0,69.0
False,2,43.8927974320784,80.0,70.0,69.0,87.0,86.0
True,0,6.732130958478096,77.0,74.0,69.0,79.0,56.0
True,2,4.450085063862734,79.0,82.0,78.0,87.0,79.0
False,4,11.133039195794613,77.0,67.0,75.0,83.0,78.0
True,1,60.66476225060939,82.0,74.0,93.0,88.0,91.0
False,0,11.918264814081695,89.0,69.0,71.0,94.0,67.0
False,4,19.691907891316117,85.0,68.0,77.0,91.0,80.0
True,0,25.76568232449323,76.0,67.0,75.0,78.0,54.0
True,0,7.801906928514435,72.0,58.0,62.0,74.0,47.0
False,2,43.21247895369337,75.0,73.0,66.0,81.0,62.0
True,2,124.51148848608939,76.0,82.0,71.0,85.0,90.0
False,0,22.02738127253977,79.0,73.0,71.0,88.0,72.0
False,0,12.334142891387145,70.0,75.0,92.0,79.0,63.0
True,5,8.591394866400284,73.0,59.0,46.0,83.0,58.0
False,1,33.853364037341215,84.0,84.0,71.0,91.0,77.0
False,2,9.019913999797804,87.0,75.0,80.0,91.0,95.0
False,3,4.575937192754937,75.0,69.0,76.0,81.0,68.0
False,1,27.219130713854103,78.0,79.0,76.0,84.0,86.0
False,1,93.18844420613847,71.0,64.0,56.0,72.0,65.0
False,2,6.748711917272237,79.0,71.0,83.0,81.0,72.0
False,4,49.46349889426392,86.0,91.0,71.0,90.0,94.0
False,2,4.511863048124107,75.0,69.0,79.0,86.0,86.0
True,4,46.2834263504464,79.0,71.0,76.0,86.0,94.0
True,0,21.083370265776264,72.0,63.0,79.0,80.0,62.0
True,4,60.07167514121888,81.0,83.0,78.0,84.0,75.0
True,2,154.8627869580635,90.0,79.0,64.0,90.0,84.0
True,2,4.690642965041609,84.0,84.0,94.0,92.0,100.0
True,2,29.52269323439312,79.0,70.0,86.0,88.0,72.0
True,0,10.189136304875678,69.0,67.0,61.0,77.0,56.0
False,0,5.409195891627919,81.0,71.0,74.0,82.0,72.0
True,1,187.26347589295796,84.0,66.0,61.0,87.0,88.0
False,3,50.07956620230322,73.0,67.0,48.0,79.0,69.0
True,2,20.911092532481607,81.0,80.0,80.0,83.0,79.0
False,3,32.627023964260516,88.0,72.0,79.0,91.0,92.0
False,2,4.2788686906267195,82.0,68.0,71.0,85.0,74.0
False,5,13.048393610835108,77.0,80.0,66.0,84.0,62.0
True,1,7.53510996432433,79.0,72.0,61.0,85.0,67.0
True,0,6.09366246253176,84.0,76.0,67.0,81.0,62.0
False,2,26.398570988410967,87.0,67.0,74.0,90.0,89.0
True,3,19.430245388299205,72.0,77.0,77.0,80.0,74.0
True,3,23.230854355609875,85.0,67.0,73.0,89.0,87.0
False,1,10.043302823202001,78.0,80.0,73.0,91.0,85.0
False,2,9.88098524808153,85.0,79.0,87.0,91.0,87.0
False,0,2.824473492282128,86.0,63.0,67.0,91.0,69.0
False,5,4.535407739826416,72.0,50.0,52.0,76.0,59.0
True,3,3.6768439971817157,82.0,73.0,67.0,89.0,76.0
False,1,20.419295425814905,87.0,75.0,79.0,93.0,92.0
True,2,9.070982814672158,71.0,56.0,70.0,76.0,74.0
True,2,70.93252704045996,82.0,78.0,83.0,87.0,89.0
False,4,28.888862071891772,90.0,84.0,80.0,92.0,89.0
True,0,5.7401631797837585,90.0,79.0,65.0,90.0,72.0
True,0,17.6379564546665,77.0,65.0,70.0,83.0,59.0
False,2,23.571162083886133,91.0,93.0,76.0,90.0,92.0
False,3,29.05470676059124,66.0,56.0,50.0,65.0,50.0
False,4,37.99257975099318,79.0,86.0,72.0,83.0,69.0
False,3,18.669413811889022,71.0,81.0,94.0,80.0,81.0
True,2,19.57542304399693,76.0,77.0,71.0,82.0,88.0
True,0,2.8160199870809137,74.0,65.0,63.0,77.0,52.0
False,3,4.747096990120014,74.0,50.0,57.0,84.0,60.0
False,0,63.80399666918307,76.0,75.0,69.0,79.0,64.0
False,2,9.244953234814377,86.0,86.0,59.0,84.0,78.0
True,0,229.68991731992284,87.0,82.0,85.0,97.0,92.0
False,3,101.1576042449359,75.0,70.0,61.0,78.0,67.0
True,2,18.884520168478254,71.0,68.0,73.0,78.0,67.0
True,4,60.46757523687463,77.0,74.0,70.0,79.0,81.0
True,2,21.027642876291644,79.0,79.0,67.0,85.0,81.0
False,4,19.084206824793206,79.0,81.0,81.0,84.0,79.0
False,3,3.0123839822720933,82.0,87.0,64.0,88.0,79.0
False,0,16.00652288079522,75.0,70.0,67.0,82.0,57.0
False,0,15.370065201373091,85.0,75.0,87.0,92.0,72.0
False,5,38.179821498440305,80.0,78.0,66.0,81.0,73.0
True,2,6.119350566802843,81.0,77.0,67.0,82.0,72.0
False,0,78.2495875121168,72.0,57.0,63.0,78.0,56.0
True,3,60.12487382712412,78.0,61.0,73.0,82.0,76.0
False,2,29.41448821463165,79.0,76.0,86.0,84.0,81.0
True,1,49.33276353839634,81.0,72.0,64.0,86.0,76.0
True,2,66.80017224664279,81.0,76.0,72.0,85.0,83.0
True,0,22.921044285162132,81.0,66.0,61.0,84.0,54.0
False,2,7.031823301360784,71.0,65.0,71.0,85.0,67.0
True,2,17.6246735952406,80.0,67.0,75.0,79.0,74.0
False,0,25.76248683317567,79.0,74.0,70.0,87.0,70.0
False,0,11.008451432763957,87.0,77.0,72.0,88.0,67.0
True,4,3.9578178518127176,86.0,69.0,69.0,94.0,81.0
False,1,37.35275688470956,80.0,71.0,76.0,86.0,73.0
False,2,7.803125820290242,86.0,81.0,69.0,92.0,75.0
False,2,10.520289422452509,83.0,71.0,67.0,93.0,80.0
True,0,14.415798919687951,71.0,67.0,82.0,81.0,54.0
False,3,3.116715870333652,83.0,76.0,63.0,89.0,81.0
False,4,9.36731786044751,83.0,88.0,83.0,94.0,90.0
True,0,13.48524128338561,82.0,82.0,67.0,85.0,58.0
False,0,69.81032921119275,82.0,80.0,93.0,86.0,83.0
True,4,29.775687067284817,72.0,68.0,56.0,79.0,60.0
False,0,69.7833051646755,84.0,99.0,73.0,91.0,86.0
False,0,11.763040406168967,83.0,82.0,77.0,89.0,65.0
False,3,27.678549411135535,81.0,77.0,69.0,83.0,82.0
True,1,21.14376659242524,81.0,74.0,77.0,90.0,86.0
False,1,33.96894999207529,92.0,76.0,72.0,96.0,89.0
False,0,27.1315408076424,77.0,62.0,64.0,78.0,58.0
False,2,7.416506375823765,72.0,68.0,71.0,81.0,68.0
True,3,178.8023413631142,90.0,69.0,91.0,96.0,100.0
False,0,5.136569166281943,73.0,55.0,82.0,76.0,56.0
False,2,3.5753395926426736,74.0,72.0,84.0,78.0,80.0
True,1,53.93569579928381,75.0,73.0,79.0,83.0,87.0
True,2,4.250367464225136,84.0,76.0,74.0,89.0,81.0
False,1,33.94283251015971,85.0,70.0,89.0,86.0,93.0
False,1,4.551208695756828,77.0,81.0,61.0,85.0,75.0
False,5,110.59564449949855,77.0,77.0,64.0,82.0,74.0
True,2,47.01780666144402,82.0,85.0,74.0,90.0,81.0
False,1,6.054861207251888,79.0,70.0,55.0,83.0,69.0
True,4,76.7235435292942,85.0,83.0,90.0,91.0,93.0
False,1,109.85404251984826,76.0,68.0,79.0,86.0,86.0
False,4,204.48766367805334,80.0,85.0,62.0,85.0,89.0
True,0,30.060313774673464,78.0,67.0,87.0,89.0,71.0
True,5,11.388468097297482,90.0,88.0,76.0,94.0,85.0
True,0,48.329046578956394,95.0,74.0,78.0,95.0,82.0
True,2,10.363316179292601,78.0,68.0,66.0,83.0,71.0
True,1,38.70159415803951,88.0,82.0,67.0,85.0,92.0
True,4,8.637047642442912,89.0,83.0,90.0,92.0,93.0
False,2,45.4079200061751,77.0,76.0,86.0,88.0,94.0
False,4,29.03621824784664,72.0,61.0,79.0,84.0,71.0
True,1,67.12439645955891,86.0,76.0,76.0,94.0,86.0
False,0,4.125504302082199,81.0,70.0,63.0,83.0,63.0
False,0,19.520412102075333,89.0,76.0,54.0,91.0,69.0
True,4,13.199150287568946,80.0,68.0,61.0,86.0,71.0
True,4,76.24377996909577,80.0,74.0,82.0,82.0,85.0
False,0,55.222183846736066,98.0,100.0,98.0,100.0,98.0
True,4,56.5860571364645,72.0,77.0,64.0,77.0,63.0
True,0,11.445115688111633,93.0,77.0,75.0,89.0,64.0
True,4,53.34167527077032,93.0,93.0,96.0,93.0,100.0
False,0,14.416961600196833,76.0,86.0,72.0,86.0,59.0
True,1,128.76674905595044,79.0,81.0,67.0,82.0,73.0
True,0,24.77499610139378,85.0,79.0,72.0,91.0,81.0
False,0,3.4671033634022943,67.0,72.0,69.0,71.0,48.0
True,3,92.35170706046661,78.0,73.0,75.0,75.0,77.0
False,2,178.0563857164288,82.0,65.0,91.0,86.0,95.0
False,0,54.023433961441796,83.0,77.0,74.0,85.0,70.0
True,0,49.892773079216674,76.0,71.0,71.0,82.0,63.0
True,4,21.033261708115656,75.0,64.0,48.0,82.0,59.0
False,2,5.103349217710142,92.0,96.0,64.0,97.0,88.0
True,5,16.62759699456915,75.0,70.0,79.0,79.0,69.0
False,0,18.504650711126537,89.0,77.0,66.0,92.0,76.0
True,2,53.62834073604396,82.0,72.0,62.0,86.0,71.0
False,5,15.893910360056998,76.0,65.0,73.0,85.0,82.0
False,0,30.596682521829152,76.0,74.0,79.0,78.0,61.0
True,1,6.245201874193134,79.0,69.0,76.0,87.0,85.0
False,3,28.213631467852004,75.0,68.0,86.0,84.0,79.0
False,0,128.02406088730817,75.0,81.0,83.0,83.0,68.0
True,2,41.17714914585071,79.0,78.0,75.0,84.0,77.0
False,0,14.16630783964255,80.0,69.0,62.0,88.0,63.0
False,0,70.99148404467303,82.0,66.0,56.0,82.0,59.0
True,2,16.648228519583053,82.0,61.0,72.0,85.0,68.0
True,3,7.914908496172152,89.0,86.0,78.0,98.0,95.0
True,0,9.176928720973761,75.0,73.0,65.0,77.0,61.0
True,0,39.38789173475458,85.0,74.0,82.0,87.0,70.0
True,5,65.12416160210606,75.0,71.0,58.0,85.0,73.0
False,4,6.536341400028807,69.0,55.0,65.0,76.0,61.0
